,alpha,beta,d66Zn,d67Zn,d70Zn
1,0.00582562108765699,-1.218358841363484,0.17920093537493464,0.2670182841417734,0.522417914283535
2,-0.00032220450733676026,-1.222038702252267,-0.009910340767138592,-0.01476621529805655,-0.028886022771512643
3,-0.000987877481092426,-1.225513504920727,-0.030384746412370767,-0.045272455032607795,-0.08856176523441839
4,-0.006505895186998729,-1.2367877452027105,-0.20008878102972805,-0.29811450729944067,-0.5830997073111854
5,0.000827568274298293,-1.2233693913123644,0.02545472966075657,0.03792738150565356,0.07419631811544924
6,-0.000751507709292223,-1.223028622003669,-0.02311466210813684,-0.03444028627286322,-0.06737227619546537
7,0.0024049777239849033,-1.2196858965841006,0.07397521730467815,0.1102239024679541,0.21563551428149808
8,0.005827166943628541,-1.2119943929859947,0.17924849144801414,0.2670891481615367,0.5225565765492046
9,0.0003321104879694003,-1.225743520841728,0.010215130928026284,0.015220421764716718,0.0297749791871027
10,-0.0013533699289472547,-1.2192584794053316,-0.04162618516956318,-0.06202172565472619,-0.12132563862843337
11,0.003101173830820827,-1.2147610951526393,0.09539068160480113,0.14213392985884532,0.2780666439532453
12,0.004017745584995078,-1.2154435346123835,0.12358574955095847,0.1841463892682249,0.3602658210291043
13,0.007739363560841342,-1.208590695748071,0.23807624784799586,0.35475053687683555,0.694094072811513
14,-0.003479891071285675,-1.232492292505938,-0.10702901685555322,-0.15946736233085623,-0.3119322774521871
15,-0.00609773690770747,-1.241046585802197,-0.1875370518901187,-0.27941440532763817,-0.5465279645910925
16,-0.0012956862034444346,-1.2259221597268313,-0.03985201718958997,-0.05937829616653456,-0.11615476242243794
17,0.0009242400349626803,-1.2256712552568887,0.02842824687632195,0.04235793365836571,0.08286386386391342
18,0.0008895132548532488,-1.2163482789493345,0.02736008823145397,0.0407663724029117,0.07975026803186402
19,0.006071653544939038,-1.219236838346744,0.18676980448484315,0.2782967906125311,0.5444871060431566
20,-0.0007547784512407797,-1.2298028088213098,-0.023215261498510387,-0.034590176073656664,-0.06766548659331573
21,0.0028371938243989974,-1.2179814372456703,0.08727042364076176,0.1300343323740183,0.25439387538206404
22,-0.0024201350175045424,-1.2355405635895715,-0.07443591992872811,-0.11090632196020245,-0.21694762102186793
23,0.0014968620005768923,-1.2266696629129095,0.0460416511138817,0.06860210646286724,0.13420642717987263
24,0.0006123491416147758,-1.2340355391631115,0.01883485719589295,0.028063769109021308,0.05490013911102487
25,-0.002181712869956695,-1.2340334560347697,-0.06710303300416776,-0.09998081518136637,-0.1955768880385067
26,-0.0029562763381186887,-1.2340950345586756,-0.09092523054288204,-0.1354741388710501,-0.2650024485976177
27,-0.005628868215539211,-1.2423502166608231,-0.17311815485265836,-0.25793237493176857,-0.5045148040331293
28,-0.000609035173582073,-1.2299490294167559,-0.018732573093482863,-0.027911109822031932,-0.05460003599422336
29,0.00025327643008469993,-1.2256749533472553,0.007790325362355688,0.011607483848763422,0.022707123255027994
30,0.0056542154913413,-1.2164325096890725,0.1739278986021553,0.25916086298383156,0.5070430640217172
31,-0.0020135649202771776,-1.2232837774135155,-0.061931459709119174,-0.09227549628321174,-0.18050483847276144
32,0.001817030560588848,-1.2137249770421321,0.05588992107075086,0.08327623952131269,0.1629146036568052
33,0.005571378717686659,-1.2141285388862426,0.1713795591364864,0.25536355624455886,0.4996128020953172
34,0.001081881104216797,-1.2233749824930868,0.033277132046150015,0.04958280516254021,0.09699805100082948
35,-0.003586563001034857,-1.2306773157867243,-0.11030968335001834,-0.16435524328728413,-0.3214926539123475
36,-0.0024889405108223924,-1.221008216132349,-0.0765520845702472,-0.11405925720220367,-0.22311484831283313
37,0.0037114558756316655,-1.223835942485913,0.11416374829487097,0.17010693859353943,0.3327966668718041
38,0.0002019024054198393,-1.214562078091436,0.0062101482811716124,0.009253036890477517,0.018101219469324192
39,0.004986479761115324,-1.2167492603312136,0.15338627279226635,0.22855171087488024,0.4471503246825659
40,0.0021004252726974613,-1.2241630426668983,0.06460712158351534,0.09626511396998438,0.18832611041696978
41,-0.005507741578471537,-1.2322822014087753,-0.16939317089725847,-0.2523826734458501,-0.49366091780611576
42,-3.6853761918588796e-05,-1.2168309922853184,-0.0011335500703646417,-0.001688971224655944,-0.0033040264764139238
43,0.00319002519645988,-1.2203551155156287,0.09812384285523557,0.14620648999974506,0.2860346378619205
44,0.0011388740495648377,-1.2205412654250856,0.03503018511152867,0.05219487024121783,0.10210811977451328
45,-0.004929207483068688,-1.229130573420855,-0.1516014327320736,-0.22587534952189792,-0.44181814939514563
46,0.000682563508493075,-1.2247417667940546,0.02099455885251622,0.03128172185196121,0.06119539812621255
47,0.00013606081375765574,-1.2255896219061309,0.0041849772485225145,0.00623555636680706,0.012198266666985091
48,0.002194321595157239,-1.21974448470618,0.06749538231898278,0.10056871610375495,0.19674577135431193
49,0.001323269243478605,-1.223410511793457,0.04070204077688544,0.06064600235800022,0.11864143477735567
50,0.0006928744702018068,-1.22473358078701,0.021311710877824908,0.031754278256190815,0.06211985862969449
51,0.006213084940633934,-1.229120072126939,0.1911207836713391,0.28478028100908936,0.5571737687679601
52,-0.002420743858811306,-1.2273102361504347,-0.07445464532018775,-0.11093422147989696,-0.21700219332454473
53,-0.003823317549375729,-1.2344882500020609,-0.1175909673178932,-0.17520363558909402,-0.34271124226525895
54,-0.0011145091723758335,-1.2273610091386746,-0.03427956733104143,-0.051075584722504175,-0.09991354322336221
55,0.000958031562107525,-1.2283573232122937,0.02946763923472595,0.04390663381537152,0.08589361441679877
56,-0.0017689215922739102,-1.227052961062986,-0.05440713998827729,-0.08106469833513152,-0.15857567072319334
57,-0.006002019483380925,-1.240380643393489,-0.1845935161222112,-0.27502898341436044,-0.537951311216367
58,0.00015119079544997455,-1.2289240844271483,0.004650348391255221,0.006928953517171266,0.013554724834996534
59,-0.0028314014791293225,-1.231384068141526,-0.08708466232876244,-0.12975200248144247,-0.25381000929403097
